Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Strain,Project_name
GCA_000017885.4,ASM1788v4,Bacillus pumilus SAFR-032,SAFR-032,Bacillus pumilus SAFR-032
GCA_000691485.4,ASM69148v4,Bacillus pumilus,7P,Bacillus pumilus 7P
GCA_000714495.3,ASM71449v3,Bacillus pumilus,45735,Bacillus pumilus 45735
GCA_001578205.1,ASM157820v1,Bacillus pumilus,SH-B9,Bacillus pumilus SH-B9
GCA_001704975.1,ASM170497v1,Bacillus pumilus,PDSLzg-1,Bacillus pumilus PDSLzg-1
GCA_003431975.1,ASM343197v1,Bacillus pumilus,145,Bacillus pumilus 145
GCA_003571425.1,ASM357142v1,Bacillus pumilus,150a,Bacillus pumilus 150a
GCA_004006455.1,ASM400645v1,Bacillus pumilus,ZB201701,Bacillus pumilus ZB201701
GCA_009937765.1,ASM993776v1,Bacillus pumilus,SF-4,Bacillus pumilus SF-4
GCA_019710455.1,ASM1971045v1,Bacillus pumilus,EB138,Bacillus pumilus EB138
GCA_020520205.1,ASM2052020v1,Bacillus pumilus,AR03,Bacillus pumilus AR03
GCA_020535425.1,ASM2053542v1,Bacillus pumilus,BIM B-171,Bacillus pumilus BIM B-171
GCA_024498355.1,ASM2449835v1,Bacillus pumilus,NDY-10,Bacillus pumilus NDY-10
GCA_029478105.2,DSM492,Bacillus pumilus,DSM 492,Bacillus pumilus DSM 492
GCA_029634685.1,ASM2963468v1,Bacillus pumilus,MS32,Bacillus pumilus MS32
GCA_029857515.2,DSM1794,Bacillus pumilus,DSM 1794,Bacillus pumilus DSM 1794
GCA_029857565.2,DSM13835,Bacillus pumilus,DSM 13835,Bacillus pumilus DSM 13835
GCA_030717805.1,ASM3071780v1,Bacillus pumilus,F12-21,Bacillus pumilus F12-21
GCA_033112945.1,ASM3311294v1,Bacillus pumilus,EB68,Bacillus pumilus EB68
GCA_037113565.1,ASM3711356v1,Bacillus pumilus,S9,Bacillus pumilus S9
GCA_038734075.1,DSM-27,Bacillus pumilus,DSM 27,Bacillus pumilus DSM 27
GCA_038736375.1,P48C1,Bacillus pumilus,P48C1,Bacillus pumilus P48C1
GCA_038738535.1,V17C11,Bacillus pumilus,V17C11,Bacillus pumilus V17C11
GCA_039619495.1,ASM3961949v1,Bacillus pumilus,FUA2115,Bacillus pumilus FUA2115
GCA_039619525.1,ASM3961952v1,Bacillus pumilus,FUA2116,Bacillus pumilus FUA2116
GCA_039619745.1,ASM3961974v1,Bacillus pumilus,FUA2119,Bacillus pumilus FUA2119
GCA_040250345.1,ASM4025034v1,Bacillus pumilus,RI06-95,Bacillus pumilus RI06-95
GCA_040712205.1,JJ950,Bacillus pumilus,JJ950,Bacillus pumilus JJ950
GCA_040712255.1,JJ1622,Bacillus pumilus,JJ1622,Bacillus pumilus JJ1622
GCA_040712265.1,JJ1368,Bacillus pumilus,JJ1368,Bacillus pumilus JJ1368
GCA_040893075.1,ASM4089307v1,Bacillus pumilus,LBUM494,Bacillus pumilus LBUM494
GCA_042180925.1,ASM4218092v1,Bacillus pumilus,X14-67,Bacillus pumilus X14-67
GCA_046581415.1,ASM4658141v1,Bacillus pumilus,D5,Bacillus pumilus D5
GCA_047224465.1,ASM4722446v1,Bacillus pumilus,SH-9,Bacillus pumilus SH-9
GCA_047424865.1,ASM4742486v1,Bacillus pumilus,FJAT-56819,Bacillus pumilus FJAT-56819
GCA_050994975.1,ASM5099497v1,Bacillus pumilus,1P9-T-A,Bacillus pumilus 1P9-T-A
GCA_050995305.1,ASM5099530v1,Bacillus pumilus,3P02H2-A,Bacillus pumilus 3P02H2-A
GCA_050995315.1,ASM5099531v1,Bacillus pumilus,3P02H2-B,Bacillus pumilus 3P02H2-B
GCA_050995325.1,ASM5099532v1,Bacillus pumilus,3P04H2-A,Bacillus pumilus 3P04H2-A
GCA_050995335.1,ASM5099533v1,Bacillus pumilus,3P07UA,Bacillus pumilus 3P07UA
GCA_050995345.1,ASM5099534v1,Bacillus pumilus,3P08H2-A,Bacillus pumilus 3P08H2-A
GCA_050995355.1,ASM5099535v1,Bacillus pumilus,3PFB H2-B,Bacillus pumilus 3PFB H2-B
GCA_050995395.1,ASM5099539v1,Bacillus pumilus,1P08PB,Bacillus pumilus 1P08PB
GCA_050995435.1,ASM5099543v1,Bacillus pumilus,2P03UA,Bacillus pumilus 2P03UA
GCA_050995465.1,ASM5099546v1,Bacillus pumilus,3P03SA,Bacillus pumilus 3P03SA
GCA_050995495.1,ASM5099549v1,Bacillus pumilus,2P01SA-3,Bacillus pumilus 2P01SA-3
GCA_051981715.1,ASM5198171v1,Bacillus pumilus,EU-10B.1,Bacillus pumilus EU-10B.1
GCA_052143355.1,ASM5214335v1,Bacillus pumilus,27-H10-A5,Bacillus pumilus 27-H10-A5
GCA_052143365.1,ASM5214336v1,Bacillus pumilus,27-H10,Bacillus pumilus 27-H10
GCA_052144035.1,ASM5214403v1,Bacillus pumilus,27-H10-BHI,Bacillus pumilus 27-H10-BHI
GCA_052144045.1,ASM5214404v1,Bacillus pumilus,27-WTB,Bacillus pumilus 27-WTB
GCA_900186955.1,49386_E02,Bacillus pumilus,NCTC10337,Bacillus pumilus NCTC10337
GCA_964063375.1,Bacillus_pumilus_CIRM-BIA2784,Bacillus pumilus,CIRM-BIA2784,Bacillus pumilus CIRM-BIA2784
