Genome	DNA_Repair	ROS_Detox	Spore	Pigment	PQC
SAFR-032	3	5	8	1	1
7P	2	3	7	1	0
45735	1	2	7	1	0
SH-B9	3	9	7	1	1
PDSLzg-1	3	5	6	1	0
145	5	5	5	1	1
150a	3	5	8	1	1
ZB201701	3	2	5	1	0
SF-4	3	6	10	1	1
EB138	2	3	5	1	1
AR03	3	3	7	1	0
BIM B-171	5	4	6	1	1
NDY-10	3	3	4	1	0
DSM 492	3	2	7	1	0
MS32	3	5	8	1	1
DSM 1794	3	9	7	1	1
DSM 13835	4	5	8	1	1
F12-21	3	6	6	1	1
EB68	2	3	5	1	1
S9	3	2	7	1	0
DSM 27	3	3	7	1	1
P48C1	3	3	7	1	0
V17C11	3	2	7	1	0
FUA2115	3	3	7	1	1
FUA2116	5	1	7	1	0
FUA2119	3	2	6	1	0
RI06-95	3	5	8	1	1
JJ950	3	4	9	1	1
JJ1622	3	4	8	1	1
JJ1368	5	4	8	1	1
LBUM494	3	3	8	1	1
X14-67	3	5	8	1	0
D5	3	5	6	1	0
SH-9	3	5	8	2	1
FJAT-56819	3	2	6	1	0
1P9-T-A	3	5	8	1	1
3P02H2-A	3	5	8	1	1
3P02H2-B	3	5	8	1	1
3P04H2-A	3	5	8	1	1
3P07UA	3	5	8	1	1
3P08H2-A	3	5	8	1	1
3PFB H2-B	3	5	8	1	1
1P08PB	3	3	9	1	1
2P03UA	3	3	8	1	1
3P03SA	3	3	8	1	1
2P01SA-3	3	3	8	1	1
EU-10B.1	3	4	7	1	0
27-H10-A5	4	5	8	1	1
27-H10	4	5	8	1	1
27-H10-BHI	4	5	8	1	1
27-WTB	4	5	8	1	1
NCTC10337	3	3	8	1	1
CIRM-BIA2784	3	8	7	1	1
