Genome	DNA_Repair	ROS_Detox	Spore	Pigment	PQC
GCA_000017885	3	5	8	1	1
GCA_000691485	2	3	7	1	0
GCA_000714495	1	2	7	1	0
GCA_001578205	3	9	7	1	1
GCA_001704975	3	5	6	1	0
GCA_003431975	5	5	5	1	1
GCA_003571425	3	5	8	1	1
GCA_004006455	3	2	5	1	0
GCA_009937765	3	6	10	1	1
GCA_019710455	2	3	5	1	1
GCA_020520205	3	3	7	1	0
GCA_020535425	5	4	6	1	1
GCA_024498355	3	3	4	1	0
GCA_029478105	3	2	7	1	0
GCA_029634685	3	5	8	1	1
GCA_029857515	3	9	7	1	1
GCA_029857565	4	5	8	1	1
GCA_030717805	3	6	6	1	1
GCA_033112945	2	3	5	1	1
GCA_037113565	3	2	7	1	0
GCA_038734075	3	3	7	1	1
GCA_038736375	3	3	7	1	0
GCA_038738535	3	2	7	1	0
GCA_039619495	3	3	7	1	1
GCA_039619525	5	1	7	1	0
GCA_039619745	3	2	6	1	0
GCA_040250345	3	5	8	1	1
GCA_040712205	3	4	9	1	1
GCA_040712255	3	4	8	1	1
GCA_040712265	5	4	8	1	1
GCA_040893075	3	3	8	1	1
GCA_042180925	3	5	8	1	0
GCA_046581415	3	5	6	1	0
GCA_047224465	3	5	8	2	1
GCA_047424865	3	2	6	1	0
GCA_050994975	3	5	8	1	1
GCA_050995305	3	5	8	1	1
GCA_050995315	3	5	8	1	1
GCA_050995325	3	5	8	1	1
GCA_050995335	3	5	8	1	1
GCA_050995345	3	5	8	1	1
GCA_050995355	3	5	8	1	1
GCA_050995395	3	3	9	1	1
GCA_050995435	3	3	8	1	1
GCA_050995465	3	3	8	1	1
GCA_050995495	3	3	8	1	1
GCA_051981715	3	4	7	1	0
GCA_052143355	4	5	8	1	1
GCA_052143365	4	5	8	1	1
GCA_052144035	4	5	8	1	1
GCA_052144045	4	5	8	1	1
GCA_900186955	3	3	8	1	1
GCA_964063375	3	8	7	1	1
GCA_test	3	5	8	1	1
