COG	Description	GCA_050995395	GCA_019710455	GCA_046581415	GCA_038736375	GCA_050995335	GCA_039619525	GCA_039619745	GCA_052144035	GCA_050995305	GCA_900186955	GCA_040712255	GCA_052143365	GCA_003431975	GCA_029857515	GCA_001578205	GCA_052143355	GCA_040712265	GCA_039619495	GCA_030717805	GCA_050994975	GCA_050995495	GCA_029857565	GCA_040893075	GCA_050995435	GCA_040250345	GCA_047424865	GCA_964063375	GCA_000017885	GCA_050995345	GCA_029634685	GCA_052144045	GCA_000714495	GCA_038734075	GCA_004006455	GCA_050995355	GCA_000691485	GCA_040712205	GCA_047224465	GCA_020535425	GCA_037113565	GCA_029478105	GCA_038738535	GCA_051981715	GCA_033112945	GCA_050995465	GCA_042180925	GCA_050995315	GCA_001704975	GCA_009937765	GCA_020520205	GCA_024498355	GCA_003571425	GCA_050995325
J	Translation, ribosomal structure and biogenesis	16	18	14	15	16	11	15	16	16	15	15	15	14	14	15	16	15	15	14	16	14	16	15	14	16	11	14	16	16	15	16	18	15	16	16	17	16	17	16	16	14	14	15	18	14	15	16	14	16	14	16	15	16
A	RNA processing and modification	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K	Transcription	70	65	66	60	70	72	62	75	70	89	71	73	66	85	88	75	75	74	79	70	70	75	74	70	78	64	88	70	70	69	75	61	91	59	70	61	74	73	88	68	64	57	68	65	70	71	70	67	71	69	52	71	70
L	Replication, recombination and repair	22	20	38	25	37	75	18	49	37	47	63	52	71	30	35	51	81	28	31	37	16	52	18	16	39	18	36	37	38	70	49	18	47	24	38	22	23	65	39	37	44	19	34	20	16	31	38	39	41	20	27	42	38
B	Chromatin structure and dynamics	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D	Cell cycle control, cell division, chromosome partitioning	4	5	5	5	5	4	4	5	5	8	3	5	5	7	8	5	4	4	7	5	4	5	4	4	6	5	5	5	5	4	5	8	8	5	5	8	4	6	6	5	5	3	4	5	4	4	5	5	4	4	4	4	5
Y	Nuclear structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V	Defense mechanisms	9	16	7	9	7	14	15	10	7	15	8	10	13	11	10	10	8	12	10	7	9	10	11	9	12	14	7	7	7	16	10	9	15	18	7	9	14	13	9	13	9	11	10	16	9	13	7	7	8	14	12	11	7
T	Signal transduction mechanisms	15	16	9	11	10	15	10	7	10	9	11	6	14	14	12	7	12	10	7	10	12	7	11	12	9	11	11	10	10	8	7	11	8	12	10	11	10	16	12	13	10	10	9	16	12	9	10	9	13	13	8	12	10
M	Cell wall/membrane/envelope biogenesis	29	22	30	28	39	41	27	32	39	39	30	32	31	41	43	32	36	31	36	39	30	32	30	30	39	26	41	39	39	34	32	30	38	27	39	29	37	43	34	31	38	29	31	22	30	28	39	30	40	28	27	39	39
