	GCA_000017885.4_ASM1788v4.faa	GCA_000691485.4_ASM69148v4.faa	GCA_000714495.3_ASM71449v3.faa	GCA_001578205.1_ASM157820v1.faa	GCA_001704975.1_ASM170497v1.faa	GCA_003431975.1_ASM343197v1.faa	GCA_003571425.1_ASM357142v1.faa	GCA_004006455.1_ASM400645v1.faa	GCA_009937765.1_ASM993776v1.faa	GCA_019710455.1_ASM1971045v1.faa	GCA_020520205.1_ASM2052020v1.faa	GCA_020535425.1_ASM2053542v1.faa	GCA_024498355.1_ASM2449835v1.faa	GCA_029478105.2_DSM492.faa	GCA_029634685.1_ASM2963468v1.faa	GCA_029857515.2_DSM1794.faa	GCA_029857565.2_DSM13835.faa	GCA_030717805.1_ASM3071780v1.faa	GCA_033112945.1_ASM3311294v1.faa	GCA_037113565.1_ASM3711356v1.faa	GCA_038734075.1_DSM-27.faa	GCA_038736375.1_P48C1.faa	GCA_038738535.1_V17C11.faa	GCA_039619495.1_ASM3961949v1.faa	GCA_039619525.1_ASM3961952v1.faa	GCA_039619745.1_ASM3961974v1.faa	GCA_040250345.1_ASM4025034v1.faa	GCA_040712205.1_JJ950.faa	GCA_040712255.1_JJ1622.faa	GCA_040712265.1_JJ1368.faa	GCA_040893075.1_ASM4089307v1.faa	GCA_042180925.1_ASM4218092v1.faa	GCA_046581415.1_ASM4658141v1.faa	GCA_047224465.1_ASM4722446v1.faa	GCA_047424865.1_ASM4742486v1.faa	GCA_050994975.1_ASM5099497v1.faa	GCA_050995305.1_ASM5099530v1.faa	GCA_050995315.1_ASM5099531v1.faa	GCA_050995325.1_ASM5099532v1.faa	GCA_050995335.1_ASM5099533v1.faa	GCA_050995345.1_ASM5099534v1.faa	GCA_050995355.1_ASM5099535v1.faa	GCA_050995395.1_ASM5099539v1.faa	GCA_050995435.1_ASM5099543v1.faa	GCA_050995465.1_ASM5099546v1.faa	GCA_050995495.1_ASM5099549v1.faa	GCA_051981715.1_ASM5198171v1.faa	GCA_052143355.1_ASM5214335v1.faa	GCA_052143365.1_ASM5214336v1.faa	GCA_052144035.1_ASM5214403v1.faa	GCA_052144045.1_ASM5214404v1.faa	GCA_900186955.1_49386_E02.faa	GCA_964063375.1_Bacillus_pumilus_CIRM-BIA2784.faa
Number of genes	3693	3752	3708	3913	3719	4125	3726	3607	3788	3668	3627	3885	3727	3892	3815	3815	3847	3784	3668	3706	3914	3588	3572	3722	4067	3624	3955	3721	3688	3974	3656	3701	3709	4165	3582	3685	3685	3686	3686	3685	3686	3689	3806	3623	3623	3622	3733	3845	3835	3844	3844	3913	3842
Number of genes in orthogroups	3687	3681	3661	3892	3719	3904	3708	3603	3750	3668	3611	3858	3638	3826	3790	3809	3841	3754	3668	3699	3906	3573	3559	3708	4028	3613	3909	3691	3686	3919	3639	3688	3709	3874	3560	3683	3683	3683	3684	3683	3684	3686	3707	3618	3618	3617	3719	3839	3829	3839	3839	3907	3828
Number of unassigned genes	6	71	47	21	0	221	18	4	38	0	16	27	89	66	25	6	6	30	0	7	8	15	13	14	39	11	46	30	2	55	17	13	0	291	22	2	2	3	2	2	2	3	99	5	5	5	14	6	6	5	5	6	14
Percentage of genes in orthogroups	99.8	98.1	98.7	99.5	100.0	94.6	99.5	99.9	99.0	100.0	99.6	99.3	97.6	98.3	99.3	99.8	99.8	99.2	100.0	99.8	99.8	99.6	99.6	99.6	99.0	99.7	98.8	99.2	99.9	98.6	99.5	99.6	100.0	93.0	99.4	99.9	99.9	99.9	99.9	99.9	99.9	99.9	97.4	99.9	99.9	99.9	99.6	99.8	99.8	99.9	99.9	99.8	99.6
Percentage of unassigned genes	0.2	1.9	1.3	0.5	0.0	5.4	0.5	0.1	1.0	0.0	0.4	0.7	2.4	1.7	0.7	0.2	0.2	0.8	0.0	0.2	0.2	0.4	0.4	0.4	1.0	0.3	1.2	0.8	0.1	1.4	0.5	0.4	0.0	7.0	0.6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2.6	0.1	0.1	0.1	0.4	0.2	0.2	0.1	0.1	0.2	0.4
Number of orthogroups containing species	3643	3615	3607	3837	3683	3783	3646	3578	3682	3636	3592	3767	3580	3674	3675	3767	3724	3702	3636	3647	3849	3549	3536	3681	3821	3582	3855	3657	3622	3841	3614	3642	3682	3707	3539	3640	3640	3640	3640	3640	3641	3642	3620	3596	3596	3595	3666	3724	3715	3724	3724	3851	3715
Percentage of orthogroups containing species	66.4	65.9	65.8	70.0	67.1	69.0	66.5	65.2	67.1	66.3	65.5	68.7	65.3	67.0	67.0	68.7	67.9	67.5	66.3	66.5	70.2	64.7	64.5	67.1	69.7	65.3	70.3	66.7	66.0	70.0	65.9	66.4	67.1	67.6	64.5	66.4	66.4	66.4	66.4	66.4	66.4	66.4	66.0	65.6	65.6	65.5	66.8	67.9	67.7	67.9	67.9	70.2	67.7
Number of species-specific orthogroups	0	0	0	0	0	8	0	0	2	0	0	0	2	7	1	0	0	1	0	0	0	0	0	0	15	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Number of genes in species-specific orthogroups	0	0	0	0	0	21	0	0	4	0	0	0	4	14	3	0	0	2	0	0	0	0	0	0	30	0	2	0	0	0	2	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.4	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1


