HOG	OG	Strain	Genes
N0.HOG0000023	OG0000003	GCA_029634685.1_ASM2963468v1.faa	PNLCHJFG_01233, PNLCHJFG_02848, PNLCHJFG_02259
N0.HOG0000024	OG0000003	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_03246, EFIDABIH_03590, EFIDABIH_03127
N0.HOG0000065	OG0000012	GCA_001578205.1_ASM157820v1.faa	HHOMENDG_02880
N0.HOG0003389	OG0003272	GCA_039619525.1_ASM3961952v1.faa	EFIDABIH_04129, EFIDABIH_00051
N0.HOG0004714	OG0004513	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_04222, LMMNMHDJ_04218, LMMNMHDJ_04220, LMMNMHDJ_04221
N0.HOG0004796	OG0004595	GCA_047424865.1_ASM4742486v1.faa	MBPIEMDG_00586, MBPIEMDG_00589, MBPIEMDG_00587, MBPIEMDG_00588
N0.HOG0004873	OG0004672	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_04149, LMMNMHDJ_01028, LMMNMHDJ_02817
N0.HOG0004906	OG0004705	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_04146, LMMNMHDJ_04145, LMMNMHDJ_02151
N0.HOG0004927	OG0004726	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_02724, LMMNMHDJ_02723, LMMNMHDJ_02722
N0.HOG0005019	OG0004818	GCA_029634685.1_ASM2963468v1.faa	PNLCHJFG_00539, PNLCHJFG_00544, PNLCHJFG_00543
N0.HOG0005255	OG0005054	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_03489, LMMNMHDJ_02141
N0.HOG0005259	OG0005058	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_02159, LMMNMHDJ_04172
N0.HOG0005275	OG0005074	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_04164, LMMNMHDJ_04161
N0.HOG0005276	OG0005075	GCA_003431975.1_ASM343197v1.faa	LMMNMHDJ_04215, LMMNMHDJ_04219
N0.HOG0005303	OG0005102	GCA_009937765.1_ASM993776v1.faa	DNIGPGIE_01662, DNIGPGIE_00545
