Strain	Column1	Column2	Accessory	Unique
GCA_000017885.4_ASM1788v4.faa	GCA_000017885.4	Bacillus pumilus SAFR-032	657	0
GCA_000691485.4_ASM69148v4.faa	GCA_000691485.4	Bacillus pumilus 7P	621	0
GCA_000714495.3_ASM71449v3.faa	GCA_000714495.3	Bacillus pumilus 45735	614	0
GCA_001578205.1_ASM157820v1.faa	GCA_001578205.1	Bacillus pumilus SH-B9	857	1
GCA_001704975.1_ASM170497v1.faa	GCA_001704975.1	Bacillus pumilus PDSLzg-1	688	0
GCA_003431975.1_ASM343197v1.faa	GCA_003431975.1	Bacillus pumilus 145	782	8
GCA_003571425.1_ASM357142v1.faa	GCA_003571425.1	Bacillus pumilus 150a	667	0
GCA_004006455.1_ASM400645v1.faa	GCA_004006455.1	Bacillus pumilus ZB201701	582	0
GCA_009937765.1_ASM993776v1.faa	GCA_009937765.1	Bacillus pumilus SF-4	695	2
GCA_019710455.1_ASM1971045v1.faa	GCA_019710455.1	Bacillus pumilus EB138	640	0
GCA_020520205.1_ASM2052020v1.faa	GCA_020520205.1	Bacillus pumilus AR03	596	0
GCA_020535425.1_ASM2053542v1.faa	GCA_020535425.1	Bacillus pumilus BIM B-171	804	0
GCA_024498355.1_ASM2449835v1.faa	GCA_024498355.1	Bacillus pumilus NDY-10	575	2
GCA_029478105.2_DSM492.faa	GCA_029478105.2	Bacillus pumilus DSM 492	673	7
GCA_029634685.1_ASM2963468v1.faa	GCA_029634685.1	Bacillus pumilus MS32	697	2
GCA_029857515.2_DSM1794.faa	GCA_029857515.2	Bacillus pumilus DSM 1794	787	0
GCA_029857565.2_DSM13835.faa	GCA_029857565.2	Bacillus pumilus DSM 13835	831	0
GCA_030717805.1_ASM3071780v1.faa	GCA_030717805.1	Bacillus pumilus F12-21	713	1
GCA_033112945.1_ASM3311294v1.faa	GCA_033112945.1	Bacillus pumilus EB68	641	0
GCA_037113565.1_ASM3711356v1.faa	GCA_037113565.1	Bacillus pumilus S9	668	0
GCA_038734075.1_DSM.27.faa	GCA_038734075.1	Bacillus pumilus DSM 27	873	0
GCA_038736375.1_P48C1.faa	GCA_038736375.1	Bacillus pumilus P48C1	554	0
GCA_038738535.1_V17C11.faa	GCA_038738535.1	Bacillus pumilus V17C11	540	0
GCA_039619495.1_ASM3961949v1.faa	GCA_039619495.1	Bacillus pumilus FUA2115	689	0
GCA_039619525.1_ASM3961952v1.faa	GCA_039619525.1	Bacillus pumilus FUA2116	814	17
GCA_039619745.1_ASM3961974v1.faa	GCA_039619745.1	Bacillus pumilus FUA2119	585	0
GCA_040250345.1_ASM4025034v1.faa	GCA_040250345.1	Bacillus pumilus RI06-95	869	1
GCA_040712205.1_JJ950.faa	GCA_040712205.1	Bacillus pumilus JJ950	668	0
GCA_040712255.1_JJ1622.faa	GCA_040712255.1	Bacillus pumilus JJ1622	637	0
GCA_040712265.1_JJ1368.faa	GCA_040712265.1	Bacillus pumilus JJ1368	858	0
GCA_040893075.1_ASM4089307v1.faa	GCA_040893075.1	Bacillus pumilus LBUM494	622	1
GCA_042180925.1_ASM4218092v1.faa	GCA_042180925.1	Bacillus pumilus X14-67	650	0
GCA_046581415.1_ASM4658141v1.faa	GCA_046581415.1	Bacillus pumilus D5	687	0
GCA_047224465.1_ASM4722446v1.faa	GCA_047224465.1	Bacillus pumilus SH-9	716	2
GCA_047424865.1_ASM4742486v1.faa	GCA_047424865.1	Bacillus pumilus FJAT-56819	541	1
GCA_050994975.1_ASM5099497v1.faa	GCA_050994975.1	Bacillus pumilus 1P9-T-A	653	0
GCA_050995305.1_ASM5099530v1.faa	GCA_050995305.1	Bacillus pumilus 3P02H2-A	653	0
GCA_050995315.1_ASM5099531v1.faa	GCA_050995315.1	Bacillus pumilus 3P02H2-B	654	0
GCA_050995325.1_ASM5099532v1.faa	GCA_050995325.1	Bacillus pumilus 3P04H2-A	654	0
GCA_050995335.1_ASM5099533v1.faa	GCA_050995335.1	Bacillus pumilus 3P07UA	653	0
GCA_050995345.1_ASM5099534v1.faa	GCA_050995345.1	Bacillus pumilus 3P08H2-A	655	0
GCA_050995355.1_ASM5099535v1.faa	GCA_050995355.1	Bacillus pumilus 3PFB H2-B	655	0
GCA_050995395.1_ASM5099539v1.faa	GCA_050995395.1	Bacillus pumilus 1P08PB	631	0
GCA_050995435.1_ASM5099543v1.faa	GCA_050995435.1	Bacillus pumilus 2P03UA	606	0
GCA_050995465.1_ASM5099546v1.faa	GCA_050995465.1	Bacillus pumilus 3P03SA	605	0
GCA_050995495.1_ASM5099549v1.faa	GCA_050995495.1	Bacillus pumilus 2P01SA-3	605	0
GCA_051981715.1_ASM5198171v1.faa	GCA_051981715.1	Bacillus pumilus EU-10B.1	684	0
GCA_052143355.1_ASM5214335v1.faa	GCA_052143355.1	Bacillus pumilus 27-H10-A5	825	0
GCA_052143365.1_ASM5214336v1.faa	GCA_052143365.1	Bacillus pumilus 27-H10	818	0
GCA_052144035.1_ASM5214403v1.faa	GCA_052144035.1	Bacillus pumilus 27-H10-BHI	826	0
GCA_052144045.1_ASM5214404v1.faa	GCA_052144045.1	Bacillus pumilus 27-WTB	825	0
GCA_900186955.1_49386_E02.faa	GCA_900186955.1	Bacillus pumilus NCTC10337	875	0
GCA_964063375.1_Bacillus_pumilus_CIRM.BIA2784.faa	GCA_964063375.1	Bacillus pumilus CIRM-BIA2784	736	1
				46
